2025-05-24 22:00:38.565 | INFO     | src.database.db_manager:initialize:31 - Database initialized successfully
2025-05-24 22:00:38.574 | INFO     | src.site_management.hugo_manager:initialize:43 - Hugo site initialized
2025-05-24 22:00:49.835 | INFO     | src.content_generation.content_generator:generate_post:99 - Generating content for keyword: analytics tools comparison for marketing teams
2025-05-24 22:01:14.936 | WARNING  | src.content_generation.content_generator:_validate_content_quality:352 - Content too short: 746 words
2025-05-24 22:01:14.937 | WARNING  | src.content_generation.content_generator:generate_post:138 - Content quality validation failed for: analytics tools comparison for marketing teams
2025-05-24 22:01:43.156 | INFO     | src.database.db_manager:initialize:31 - Database initialized successfully
2025-05-24 22:01:43.163 | INFO     | src.site_management.hugo_manager:initialize:43 - Hugo site initialized
2025-05-24 22:01:54.292 | INFO     | src.content_generation.content_generator:generate_post:99 - Generating content for keyword: top automation tools tools for entrepreneurs
2025-05-24 22:02:18.656 | WARNING  | src.content_generation.content_generator:_validate_content_quality:364 - Content readability too low: 29.357534977593815
2025-05-24 22:02:18.656 | WARNING  | src.content_generation.content_generator:generate_post:138 - Content quality validation failed for: top automation tools tools for entrepreneurs
2025-05-24 22:02:52.902 | INFO     | src.database.db_manager:initialize:31 - Database initialized successfully
2025-05-24 22:02:52.909 | INFO     | src.site_management.hugo_manager:initialize:43 - Hugo site initialized
2025-05-24 22:02:52.935 | INFO     | src.content_generation.content_generator:generate_post:99 - Generating content for keyword: free design tools for designers
2025-05-24 22:03:17.314 | WARNING  | src.content_generation.content_generator:_validate_content_quality:382 - Keyword density out of range: 0.000
2025-05-24 22:03:17.330 | WARNING  | src.content_generation.content_generator:generate_post:138 - Content quality validation failed for: free design tools for designers
2025-05-24 22:04:52.677 | INFO     | src.database.db_manager:initialize:31 - Database initialized successfully
2025-05-24 22:04:52.677 | INFO     | src.site_management.hugo_manager:initialize:43 - Hugo site initialized
2025-05-24 22:05:12.966 | INFO     | src.database.db_manager:initialize:31 - Database initialized successfully
2025-05-24 22:05:12.982 | INFO     | src.site_management.hugo_manager:initialize:43 - Hugo site initialized
2025-05-24 22:05:12.997 | INFO     | src.content_generation.content_generator:generate_post:99 - Generating content for keyword: free design tools for designers
2025-05-24 22:05:40.798 | WARNING  | src.content_generation.content_generator:_validate_content_quality:389 - Keyword density acceptable but low: 0.093
2025-05-24 22:05:40.814 | INFO     | src.content_generation.content_generator:generate_post:135 - Generated high-quality content: Top Free Design Tools for Designers 2023
2025-05-24 22:05:40.825 | INFO     | src.affiliate_system.link_injector:inject_links:60 - Injected 4 affiliate links into content
2025-05-24 22:05:40.828 | INFO     | src.site_management.hugo_manager:save_post:390 - Saved post: top-free-design-tools-for-designers-2023.md
2025-05-24 22:05:40.841 | INFO     | src.content_generation.content_generator:generate_post:99 - Generating content for keyword: how to choose analytics tools for coaches
2025-05-24 22:05:59.968 | WARNING  | src.content_generation.content_generator:_validate_content_quality:389 - Keyword density acceptable but low: 0.052
2025-05-24 22:05:59.972 | INFO     | src.content_generation.content_generator:generate_post:135 - Generated high-quality content: How to Choose Analytics Tools for Coaches
2025-05-24 22:05:59.979 | INFO     | src.affiliate_system.link_injector:inject_links:60 - Injected 4 affiliate links into content
2025-05-24 22:05:59.981 | INFO     | src.site_management.hugo_manager:save_post:390 - Saved post: how-to-choose-analytics-tools-for-coaches.md
2025-05-24 22:58:00.609 | INFO     | src.database.db_manager:initialize:31 - Database initialized successfully
2025-05-24 22:58:00.615 | INFO     | src.site_management.hugo_manager:initialize:43 - Hugo site initialized
2025-05-24 22:58:11.841 | INFO     | src.content_generation.content_generator:generate_post:99 - Generating content for keyword: discord review for e-commerce stores
2025-05-24 22:58:33.562 | WARNING  | src.content_generation.content_generator:_validate_content_quality:389 - Keyword density acceptable but low: 0.055
2025-05-24 22:58:33.578 | INFO     | src.content_generation.content_generator:generate_post:135 - Generated high-quality content: Discord Review for E-commerce Stores
2025-05-24 22:58:33.583 | INFO     | src.affiliate_system.link_injector:inject_links:60 - Injected 5 affiliate links into content
2025-05-24 22:58:33.588 | INFO     | src.site_management.hugo_manager:save_post:390 - Saved post: discord-review-for-e-commerce-stores.md
2025-05-24 22:58:33.594 | INFO     | src.content_generation.content_generator:generate_post:99 - Generating content for keyword: free email marketing for designers
2025-05-24 22:58:57.904 | WARNING  | src.content_generation.content_generator:_validate_content_quality:389 - Keyword density acceptable but low: 0.069
2025-05-24 22:58:57.904 | INFO     | src.content_generation.content_generator:generate_post:135 - Generated high-quality content: Free Email Marketing for Designers: Top Tools
2025-05-24 22:58:57.915 | INFO     | src.affiliate_system.link_injector:inject_links:60 - Injected 4 affiliate links into content
2025-05-24 22:58:57.919 | INFO     | src.site_management.hugo_manager:save_post:390 - Saved post: free-email-marketing-for-designers-top-tools.md
2025-05-24 22:58:57.926 | INFO     | src.content_generation.content_generator:generate_post:99 - Generating content for keyword: analytics tools comparison for restaurants
2025-05-24 22:59:28.021 | WARNING  | src.content_generation.content_generator:_validate_content_quality:389 - Keyword density acceptable but low: 0.059
2025-05-24 22:59:28.021 | INFO     | src.content_generation.content_generator:generate_post:135 - Generated high-quality content: Top Analytics Tools Comparison for Restaurants
2025-05-24 22:59:28.041 | INFO     | src.affiliate_system.link_injector:inject_links:60 - Injected 6 affiliate links into content
